gameweek,match_id,team_side,minute,card_type,quarantine_reason
4,25-26-prem-afc-bournemouth-vs-brighton-hove-albion,away,-5,yellow,unknown_player_and_invalid_minute
4,25-26-prem-fulham-vs-leeds-united,home,-5,yellow,unknown_player_and_invalid_minute
4,25-26-prem-newcastle-united-vs-wolverhampton-wanderers,away,-5,yellow,unknown_player_and_invalid_minute
5,25-26-prem-arsenal-vs-manchester-city,away,-5,yellow,unknown_player_and_invalid_minute
5,25-26-prem-manchester-united-vs-chelsea,away,-5,yellow,unknown_player_and_invalid_minute
6,25-26-prem-aston-villa-vs-fulham,away,-5,yellow,unknown_player_and_invalid_minute
6,25-26-prem-chelsea-vs-brighton-hove-albion,away,-5,yellow,unknown_player_and_invalid_minute
6,25-26-prem-crystal-palace-vs-liverpool,away,-5,yellow,unknown_player_and_invalid_minute
7,25-26-prem-chelsea-vs-liverpool,home,-5,yellowRed,unknown_player_and_invalid_minute
7,25-26-prem-chelsea-vs-liverpool,away,-5,yellow,unknown_player_and_invalid_minute
7,25-26-prem-chelsea-vs-liverpool,home,-5,yellow,unknown_player_and_invalid_minute
7,25-26-prem-everton-vs-crystal-palace,home,-5,yellow,unknown_player_and_invalid_minute
7,25-26-prem-wolverhampton-wanderers-vs-brighton-hove-albion,home,-5,red,unknown_player_and_invalid_minute
9,25-26-prem-afc-bournemouth-vs-nottingham-forest,away,-5,yellow,unknown_player_and_invalid_minute
10,25-26-prem-liverpool-vs-aston-villa,away,-5,yellow,unknown_player_and_invalid_minute
11,25-26-prem-crystal-palace-vs-brighton-hove-albion,away,-5,yellow,unknown_player_and_invalid_minute
12,25-26-prem-burnley-vs-chelsea,away,-5,yellow,unknown_player_and_invalid_minute
13,25-26-prem-sunderland-vs-afc-bournemouth,away,-5,yellow,unknown_player_and_invalid_minute
17,25-26-prem-newcastle-united-vs-chelsea,away,-5,yellow,unknown_player_and_invalid_minute
18,25-26-prem-burnley-vs-everton,home,-5,yellow,unknown_player_and_invalid_minute
18,25-26-prem-nottingham-forest-vs-manchester-city,away,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-arsenal-vs-liverpool,home,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-burnley-vs-manchester-united,home,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-everton-vs-wolverhampton-wanderers,home,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-fulham-vs-chelsea,away,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-fulham-vs-chelsea,home,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-manchester-city-vs-brighton-hove-albion,home,-5,yellow,unknown_player_and_invalid_minute
21,25-26-prem-west-ham-united-vs-nottingham-forest,home,-5,yellow,unknown_player_and_invalid_minute
22,25-26-prem-brighton-hove-albion-vs-afc-bournemouth,home,-5,yellow,unknown_player_and_invalid_minute
22,25-26-prem-leeds-united-vs-fulham,away,-5,yellow,unknown_player_and_invalid_minute
22,25-26-prem-tottenham-hotspur-vs-west-ham-united,away,-5,yellow,unknown_player_and_invalid_minute
24,25-26-prem-manchester-united-vs-fulham,away,-5,yellow,unknown_player_and_invalid_minute
24,25-26-prem-tottenham-hotspur-vs-manchester-city,away,-5,yellow,unknown_player_and_invalid_minute
25,25-26-prem-manchester-united-vs-tottenham-hotspur,away,-5,yellow,unknown_player_and_invalid_minute
26,25-26-prem-brentford-vs-arsenal,home,-5,yellow,unknown_player_and_invalid_minute
26,25-26-prem-everton-vs-afc-bournemouth,away,-5,yellow,unknown_player_and_invalid_minute
26,25-26-prem-manchester-city-vs-fulham,home,-5,yellow,unknown_player_and_invalid_minute
30,25-26-prem-arsenal-vs-everton,away,-5,yellow,unknown_player_and_invalid_minute
30,25-26-prem-crystal-palace-vs-leeds-united,home,-5,yellow,unknown_player_and_invalid_minute
30,25-26-prem-crystal-palace-vs-leeds-united,away,-5,yellow,unknown_player_and_invalid_minute
30,25-26-prem-liverpool-vs-tottenham-hotspur,away,-5,yellow,unknown_player_and_invalid_minute
31,25-26-prem-brighton-hove-albion-vs-liverpool,home,-5,yellow,unknown_player_and_invalid_minute
33,25-26-prem-leeds-united-vs-wolverhampton-wanderers,away,-5,yellow,unknown_player_and_invalid_minute
33,25-26-prem-manchester-city-vs-arsenal,home,-5,yellow,unknown_player_and_invalid_minute
33,25-26-prem-tottenham-hotspur-vs-brighton-hove-albion,home,-5,yellow,unknown_player_and_invalid_minute
35,25-26-prem-newcastle-united-vs-brighton-hove-albion,away,-5,yellow,unknown_player_and_invalid_minute
36,25-26-prem-liverpool-vs-chelsea,away,-5,yellow,unknown_player_and_invalid_minute
36,25-26-prem-tottenham-hotspur-vs-leeds-united,home,-5,yellow,unknown_player_and_invalid_minute
