player_name,team,opponent,match_date,competition,venue,minutes,fouls_committed,fouls_drawn,yellow_card,red_card,external_player_id
Luke Shaw,Man Utd,Arsenal,2025-08-17,Premier League,home,79,1,0,0,0,443
Bukayo Saka,Arsenal,Man Utd,2025-08-17,Premier League,away,90,0,0,0,0,16
Declan Rice,Arsenal,Man Utd,2025-08-17,Premier League,away,82,1,0,0,0,21
Benjamin Sesko,Man Utd,Arsenal,2025-08-17,Premier League,home,25,1,0,0,0,681
Jurriën Timber,Arsenal,Man Utd,2025-08-17,Premier League,away,19,2,1,1,0,8
Gabriel Martinelli Silva,Arsenal,Man Utd,2025-08-17,Premier League,away,59,0,1,0,0,19
Diogo Dalot Teixeira,Man Utd,Arsenal,2025-08-17,Premier League,home,54,0,0,0,0,440
Bryan Mbeumo,Man Utd,Arsenal,2025-08-17,Premier League,home,90,1,3,0,0,119
Mikel Merino Zazón,Arsenal,Man Utd,2025-08-17,Premier League,away,7,1,0,0,0,22
Manuel Ugarte Ribeiro,Man Utd,Arsenal,2025-08-17,Premier League,home,25,2,0,0,0,459
Myles Lewis-Skelly,Arsenal,Man Utd,2025-08-17,Premier League,away,18,1,0,1,0,10
David Raya Martín,Arsenal,Man Utd,2025-08-17,Premier League,away,90,0,0,1,0,1
Riccardo Calafiori,Arsenal,Man Utd,2025-08-17,Premier League,away,71,2,0,1,0,7
Martin Ødegaard,Arsenal,Man Utd,2025-08-17,Premier League,away,90,1,1,0,0,17
William Saliba,Arsenal,Man Utd,2025-08-17,Premier League,away,90,2,0,0,0,6
Benjamin White,Arsenal,Man Utd,2025-08-17,Premier League,away,70,2,0,0,0,11
Bruno Borges Fernandes,Man Utd,Arsenal,2025-08-17,Premier League,home,90,1,2,0,0,449
Amad Diallo,Man Utd,Arsenal,2025-08-17,Premier League,home,35,0,2,0,0,452
Martín Zubimendi Ibáñez,Arsenal,Man Utd,2025-08-17,Premier League,away,90,2,0,0,0,26
Matthijs de Ligt,Man Utd,Arsenal,2025-08-17,Premier League,home,90,1,1,0,0,436
Leny Yoro,Man Utd,Arsenal,2025-08-17,Premier League,home,90,1,0,0,0,444
Patrick Dorgu,Man Utd,Arsenal,2025-08-17,Premier League,home,90,1,4,1,0,441
Gabriel dos Santos Magalhães,Arsenal,Man Utd,2025-08-17,Premier League,away,90,1,2,0,0,5
Carlos Henrique Casimiro,Man Utd,Arsenal,2025-08-17,Premier League,home,64,0,2,0,0,457
Mason Mount,Man Utd,Arsenal,2025-08-17,Premier League,home,64,0,0,0,0,455
Kai Havertz,Arsenal,Man Utd,2025-08-17,Premier League,away,30,0,2,0,0,30
Matheus Santos Carneiro da Cunha,Man Utd,Arsenal,2025-08-17,Premier League,home,90,0,3,0,0,450
Viktor Gyökeres,Arsenal,Man Utd,2025-08-17,Premier League,away,59,3,2,0,0,666
Noni Madueke,Arsenal,Man Utd,2025-08-17,Premier League,away,30,1,1,0,0,18
Altay Bayındır,Man Utd,Arsenal,2025-08-17,Premier League,home,90,0,2,0,0,431
Harry Maguire,Man Utd,Arsenal,2025-08-17,Premier League,home,10,1,0,0,0,442
Chris Wood,Nott'm Forest,Brentford,2025-08-17,Premier League,home,78,0,0,0,0,525
Morgan Gibbs-White,Nott'm Forest,Brentford,2025-08-17,Premier League,home,83,1,2,0,0,515
Elliot Anderson,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,0,2,0,0,517
Ola Aina,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,2,1,0,0,507
Callum Hudson-Odoi,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,0,2,0,0,516
Nikola Milenković,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,0,0,0,0,505
Yehor Yarmoliuk,Brentford,Nott'm Forest,2025-08-17,Premier League,away,90,3,0,0,0,129
Caoimhín Kelleher,Brentford,Nott'm Forest,2025-08-17,Premier League,away,90,0,0,0,0,101
Ryan Yates,Nott'm Forest,Brentford,2025-08-17,Premier League,home,6,0,1,0,0,522
Murillo Costa dos Santos,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,0,2,0,0,506
Matz Sels,Nott'm Forest,Brentford,2025-08-17,Premier League,home,90,0,0,0,0,502
Dan Ndoye,Nott'm Forest,Brentford,2025-08-17,Premier League,home,78,0,1,0,0,669
