player_name,team,competition,season,appearances,starts,minutes,yellow_cards,red_cards,fouls_committed,fouls_drawn,fouls_per_90,cards_per_90,position,external_player_id
André Trindade da Costa Neto,Wolves,Premier League,2025/26,35,35,2760,12,0,47,43,1.53,0.39,Midfielder,643
Yerson Mosquera Valdelamar,Wolves,Premier League,2025/26,27,26,2137,12,0,34,44,1.43,0.51,Defender,634
James Garner,Everton,Premier League,2025/26,38,38,3413,12,0,39,42,1.03,0.32,Midfielder,303
Moisés Caicedo Corozo,Chelsea,Premier League,2025/26,33,33,2796,11,1,54,55,1.74,0.35,Midfielder,241
João Victor Gomes da Silva,Wolves,Premier League,2025/26,35,34,2829,10,0,69,49,2.2,0.32,Midfielder,646
Joelinton Cássio Apolinário de Lira,Newcastle,Premier League,2025/26,27,25,1950,10,0,47,27,2.17,0.46,Midfielder,490
Hannibal Mejbri,Burnley,Premier League,2025/26,27,25,1219,10,0,24,47,1.77,0.74,Midfielder,207
Ethan Ampadu,Leeds,Premier League,2025/26,35,35,3119,10,0,50,36,1.44,0.29,Midfielder,354
Álex Jiménez Sánchez,Bournemouth,Premier League,2025/26,31,31,2315,10,0,35,20,1.36,0.39,Defender,713
Bernardo Mota Veiga de Carvalho e Silva,Man City,Premier League,2025/26,38,38,2869,10,0,37,22,1.16,0.31,Midfielder,416
Enzo Fernández,Chelsea,Premier League,2025/26,36,36,3114,10,0,36,45,1.04,0.29,Midfielder,237
Pedro Porro Sauceda,Spurs,Premier League,2025/26,34,34,2793,10,0,32,26,1.03,0.32,Defender,568
Lewis Dunk,Brighton,Premier League,2025/26,33,32,2837,10,0,15,12,0.48,0.32,Defender,146
Saša Lukić,Fulham,Premier League,2025/26,26,24,1730,9,0,53,25,2.76,0.47,Midfielder,332
Diego Gómez Amarilla,Brighton,Premier League,2025/26,32,32,2117,9,0,48,11,2.04,0.38,Midfielder,169
Tim Iroegbunam,Everton,Premier League,2025/26,29,24,1477,9,0,29,20,1.77,0.55,Midfielder,304
Carlos Henrique Casimiro,Man Utd,Premier League,2025/26,34,34,2575,9,1,46,36,1.61,0.31,Midfielder,457
Cristian Romero,Spurs,Premier League,2025/26,23,23,1869,9,2,32,16,1.54,0.43,Defender,569
Dan Burn,Newcastle,Premier League,2025/26,29,26,2195,9,1,36,13,1.48,0.37,Defender,476
Luke Shaw,Man Utd,Premier League,2025/26,38,38,3220,9,0,48,20,1.34,0.25,Defender,443
Matty Cash,Aston Villa,Premier League,2025/26,35,34,3016,9,0,41,30,1.22,0.27,Defender,36
Noah Sadiki,Sunderland,Premier League,2025/26,33,33,2891,9,0,32,40,1,0.28,Midfielder,552
Kyle Walker,Burnley,Premier League,2025/26,36,35,3095,9,0,32,22,0.93,0.26,Defender,187
Trai Hume,Sunderland,Premier League,2025/26,38,36,3032,9,0,31,39,0.92,0.27,Defender,532
Micky van de Ven,Spurs,Premier League,2025/26,35,35,3041,9,1,29,22,0.86,0.27,Defender,575
Jan Paul van Hecke,Brighton,Premier League,2025/26,36,36,3210,9,0,27,43,0.76,0.25,Defender,151
Tyler Adams,Bournemouth,Premier League,2025/26,25,21,1769,8,0,35,13,1.78,0.41,Midfielder,85
Elliot Anderson,Nott'm Forest,Premier League,2025/26,38,37,3332,8,0,57,80,1.54,0.22,Midfielder,517
Marc Cucurella Saseta,Chelsea,Premier League,2025/26,34,33,2706,8,1,45,29,1.5,0.27,Defender,224
Mats Wieffer,Brighton,Premier League,2025/26,26,26,1901,8,0,30,22,1.42,0.38,Midfielder,173
Kevin Danso,Spurs,Premier League,2025/26,24,21,1489,8,0,21,13,1.27,0.48,Defender,570
Vitaly Janelt,Brentford,Premier League,2025/26,25,24,1434,8,0,20,13,1.26,0.5,Midfielder,125
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,Premier League,2025/26,33,32,2192,8,0,28,36,1.15,0.33,Midfielder,673
Dominik Szoboszlai,Liverpool,Premier League,2025/26,36,36,3232,8,1,41,30,1.14,0.22,Midfielder,387
Marcos Senesi Barón,Bournemouth,Premier League,2025/26,37,37,3288,8,0,34,37,0.93,0.22,Defender,72
James Tarkowski,Everton,Premier League,2025/26,37,37,3330,8,0,32,35,0.86,0.22,Defender,291
Michael Kayode,Brentford,Premier League,2025/26,37,37,3258,8,0,26,50,0.72,0.22,Defender,110
Granit Xhaka,Sunderland,Premier League,2025/26,34,32,2901,8,0,23,42,0.71,0.25,Midfielder,668
Gianluigi Donnarumma,Man City,Premier League,2025/26,34,34,3060,8,0,0,4,0,0.24,Goalkeeper,736
Igor Thiago Nascimento Rodrigues,Brentford,Premier League,2025/26,38,38,3282,7,0,73,26,2,0.19,Forward,136
Antoine Semenyo,Man City,Premier League,2025/26,37,37,3200,7,0,56,21,1.57,0.2,Midfielder,82
Mateus Gonçalo Espanha Fernandes,West Ham,Premier League,2025/26,36,36,3017,7,0,49,49,1.46,0.21,Midfielder,708
Reinildo Mandava,Sunderland,Premier League,2025/26,25,23,1966,7,1,32,35,1.46,0.32,Defender,541
Will Hughes,Crystal Palace,Premier League,2025/26,31,27,1560,7,0,23,25,1.33,0.4,Midfielder,270
Jefferson Lerma Solís,Crystal Palace,Premier League,2025/26,31,28,1722,7,0,25,25,1.31,0.37,Midfielder,272
