referee_name,player_name,team,matches_together,yellow_cards,red_cards,fouls_committed,external_referee_id,external_player_id
Andrew Kitchen,Aaron Wan-Bissaka,West Ham,1,1,0,1,,610
Andrew Kitchen,Adam Armstrong,Wolves,1,0,0,1,,817
Andrew Kitchen,Alejandro Garnacho Ferreyra,Chelsea,1,0,0,0,,453
Andrew Kitchen,Alphonse Areola,West Ham,1,0,0,0,,600
Andrew Kitchen,Amad Diallo,Man Utd,1,0,0,2,,452
Andrew Kitchen,Amadou Onana,Aston Villa,1,0,0,0,,59
Andrew Kitchen,André Trindade da Costa Neto,Wolves,2,1,0,4,,643
Andrew Kitchen,Andrey Nascimento dos Santos,Chelsea,1,0,0,0,,246
Andrew Kitchen,Andy Irving,West Ham,1,0,0,0,,621
Andrew Kitchen,Angel Gomes,Wolves,1,0,0,1,,816
Andrew Kitchen,Armando Broja,Burnley,1,0,0,0,,680
Andrew Kitchen,Ashley Barnes,Burnley,1,1,0,0,,218
Andrew Kitchen,Axel Tuanzebe,Burnley,2,0,0,2,,198
Andrew Kitchen,Ayden Heaven,Man Utd,1,1,0,2,,447
Andrew Kitchen,Bashir Humphreys,Burnley,1,0,0,0,,193
Andrew Kitchen,Boubacar Kamara,Aston Villa,1,0,0,1,,58
Andrew Kitchen,Bruno Borges Fernandes,Man Utd,1,0,0,1,,449
Andrew Kitchen,Bryan Mbeumo,Man Utd,1,0,0,1,,119
Andrew Kitchen,Callum Wilson,West Ham,1,0,0,0,,671
Andrew Kitchen,Carlos Henrique Casimiro,Man Utd,1,0,0,2,,457
Andrew Kitchen,Connor Roberts,Burnley,1,0,0,0,,186
Andrew Kitchen,Daniel Bentley,Wolves,1,0,0,0,,629
Andrew Kitchen,David Møller Wolfe,Wolves,1,0,0,0,,682
Andrew Kitchen,Diogo Dalot Teixeira,Man Utd,1,0,0,0,,440
Andrew Kitchen,Donyell Malen,Aston Villa,1,0,0,0,,53
Andrew Kitchen,El Hadji Malick Diouf,West Ham,1,1,0,1,,603
Andrew Kitchen,Emiliano Buendía Stati,Aston Villa,1,1,0,2,,50
Andrew Kitchen,Emiliano Martínez Romero,Aston Villa,1,1,0,0,,32
Andrew Kitchen,Enzo Fernández,Chelsea,1,0,0,1,,237
Andrew Kitchen,Estêvão Almeida de Oliveira Gonçalves,Chelsea,1,0,0,0,,238
Andrew Kitchen,Ezri Konsa Ngoyo,Aston Villa,1,0,0,0,,38
Andrew Kitchen,Florentino Ibrain Morris Luís,Burnley,2,0,0,3,,722
Andrew Kitchen,Freddie Potts,West Ham,1,0,0,0,,623
Andrew Kitchen,Hannibal Mejbri,Burnley,1,1,0,1,,207
Andrew Kitchen,Hjalmar Ekdal,Burnley,1,0,0,0,,190
Andrew Kitchen,Hugo Bueno López,Wolves,2,0,0,0,,633
Andrew Kitchen,Hwang Hee-chan,Wolves,2,1,0,2,,642
Andrew Kitchen,Ian Maatsen,Aston Villa,1,0,0,0,,39
Andrew Kitchen,Jackson Tchatchoua,Wolves,2,0,0,0,,695
Andrew Kitchen,Jacob Bruun Larsen,Burnley,2,0,0,0,,202
Andrew Kitchen,Jaidon Anthony,Burnley,2,0,0,3,,200
Andrew Kitchen,James Ward-Prowse,Burnley,1,0,0,0,,614
Andrew Kitchen,Jamie Bynoe-Gittens,Chelsea,1,0,0,0,,239
