referee_name,matches_refereed,yellow_cards,red_cards,yellows_per_game,fouls_per_game,competition,season,external_referee_id
Andrew Kitchen,4,15,0,3.750,23.250,Premier League,2025/26,
Andy Madley,21,68,4,3.238,22.857,Premier League,2025/26,
Anthony Taylor,31,122,2,3.935,20.484,Premier League,2025/26,
Chris Kavanagh,30,119,3,3.967,22.467,Premier League,2025/26,
Craig Pawson,21,56,2,2.667,21.714,Premier League,2025/26,
Darren England,23,99,3,4.304,22.043,Premier League,2025/26,
Farai Hallam,5,13,0,2.600,21.800,Premier League,2025/26,
Jarred Gillett,22,79,1,3.591,19.773,Premier League,2025/26,
John Brooks,12,44,3,3.667,20.917,Premier League,2025/26,
Lewis Smith,1,4,1,4.000,24.000,Premier League,2025/26,
Matthew Donohue,3,15,0,5.000,26.333,Premier League,2025/26,
Michael Oliver,29,92,2,3.172,22.724,Premier League,2025/26,
Michael Salisbury,14,61,0,4.357,21.929,Premier League,2025/26,
Paul Tierney,12,40,2,3.333,20.167,Premier League,2025/26,
Peter Bankes,22,84,4,3.818,22.455,Premier League,2025/26,
Robert Jones,18,75,0,4.167,21.056,Premier League,2025/26,
Sam Barrott,24,89,1,3.708,19.333,Premier League,2025/26,
Simon Hooper,15,60,2,4.000,23.333,Premier League,2025/26,
Stuart Attwell,25,115,2,4.600,21.720,Premier League,2025/26,
Thomas Bramall,22,89,2,4.045,21.500,Premier League,2025/26,
Thomas Kirk,6,16,3,2.667,24.000,Premier League,2025/26,
Tim Robinson,9,36,1,4.000,22.889,Premier League,2025/26,
Tony Harrington,11,33,1,3.000,20.000,Premier League,2025/26,
